"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Markus Pottinger",1978-05-01,"D","Ottawa 67's",14,0,3,3,0.21,100
"Matt Bradley",1978-06-13,"RW","Kingston Frontenacs",8,2,1,3,0.38,43
"Michael Henrich",1980-03-04,"RW","Barrie Colts",5,1,2,3,0.6,75
"Michael Jacobsen",1981-07-24,"D","Belleville Bulls",10,0,3,3,0.3,100
"Michael Rupp",1980-01-13,"LW","Erie Otters",7,2,1,3,0.43,75
"Mike Christian",1979-11-13,"LW","Barrie Colts",6,2,1,3,0.5,75
"Mike Fisher",1980-06-05,"C","Sudbury Wolves",9,2,1,3,0.33,75
"Mike Lankshear",1978-09-08,"D","Owen Sound Platers",11,0,3,3,0.27,50
"Ryan Cirillo",1978-02-17,"LW","Oshawa Generals",7,0,3,3,0.43,75
"Sean Blanchard",1978-03-29,"D","Ottawa 67's",14,0,3,3,0.21,50
"Sergei Fedotov",1977-01-24,"D","Plymouth Whalers",15,1,2,3,0.2,60
"Vratislav Cech",1979-01-28,"D","Kitchener Rangers",6,2,1,3,0.5,75
"Warren Holmes",1978-10-24,"LW","Oshawa Generals",7,2,1,3,0.43,100
"Alex Henry",1979-10-18,"D","London Knights",16,0,2,2,0.12,67
"Andrei Shurupov",1978-02-28,"C","Belleville Bulls",10,1,1,2,0.2,40
"Andrew Proskurnicki",1978-07-24,"LW","Sarnia Sting",5,1,1,2,0.4,100
"Ben Schust",1977-04-06,"LW","Kitchener Rangers",6,2,0,2,0.33,50
"Brandon Merli",1979-03-16,"LW","Kitchener Rangers",6,0,2,2,0.33,100
"Brian Barker",1978-09-07,"LW","Barrie Colts",5,0,2,2,0.4,100
"Brian Passmore",1980-04-27,"C","Plymouth Whalers",15,2,0,2,0.13,100
"Brock Boucher",1979-01-26,"LW","Barrie Colts",6,1,1,2,0.33,100
"Bryan Allen",1980-08-21,"D","Oshawa Generals",5,0,2,2,0.4,40
"Derek Campbell",1980-04-14,"LW","Belleville Bulls",9,2,0,2,0.22,100
"Eric Pacey",1978-05-03,"C","London Knights",11,0,2,2,0.18,67
"Ivan Novoseltsev",1979-01-23,"RW","Sarnia Sting",5,1,1,2,0.4,100
"Jeff Paul",1978-03-01,"D","Erie Otters",7,0,2,2,0.29,100
"Jim Baxter",1979-08-24,"D","Oshawa Generals",7,1,1,2,0.29,29
"Joel Ward",1980-12-02,"RW","Owen Sound Platers",11,1,1,2,0.18,100
"Jonathan Cheechoo",1980-07-15,"RW","Belleville Bulls",10,1,1,2,0.2,33
"Jonathan Schill",1979-06-28,"LW","Kingston Frontenacs",12,1,1,2,0.17,100
"Josh Seabrook",1980-03-05,"RW","Kitchener Rangers",5,1,1,2,0.4,100
"Kevin Colley",1979-01-04,"RW","Oshawa Generals",7,0,2,2,0.29,33
"Kristopher Purdy",1980-10-10,"LW","Plymouth Whalers",14,1,1,2,0.14,100
"Luch Nasato",1977-03-10,"D","Barrie Colts",6,0,2,2,0.33,67
"Mark McMahon",1978-02-10,"D","Kitchener Rangers",6,0,2,2,0.33,33
"Martin Skoula",1979-10-28,"D","Barrie Colts",6,1,1,2,0.33,50
"Michael Hanson",1978-05-26,"LW","Sarnia Sting",5,1,1,2,0.4,100
"Michal Dvorak",1979-08-12,"LW","Kitchener Rangers",6,2,0,2,0.33,67
"Mike Tilson",1978-06-28,"D","Belleville Bulls",10,0,2,2,0.2,67
"Nick Boynton",1979-01-14,"D","Ottawa 67's",14,0,2,2,0.14,50
"Nick Smith",1979-03-23,"C","Barrie Colts",6,1,1,2,0.33,67
"Nikos Tselios",1979-01-20,"D","Plymouth Whalers",15,0,2,2,0.13,22
"Randy Rowe",1980-06-10,"LW","Belleville Bulls",10,0,2,2,0.2,67
"Ryan Crowther",1979-10-15,"D","Owen Sound Platers",8,0,2,2,0.25,100
"Serge Payer",1979-05-09,"C","Kitchener Rangers",6,2,0,2,0.33,67
"Shane Nash",1979-01-24,"C","Erie Otters",7,1,1,2,0.29,33
"Steve Gallace",1978-08-20,"D","Belleville Bulls",7,2,0,2,0.29,67
"Steve Wasylko",1978-07-11,"C","Plymouth Whalers",14,1,1,2,0.14,29
"Taylor Pyatt",1981-08-19,"LW","Sudbury Wolves",10,1,1,2,0.2,50
"Troy Smith",1978-07-31,"D","Plymouth Whalers",15,1,1,2,0.13,100
"Abe Herbst",1980-02-21,"D","Sarnia Sting",5,0,1,1,0.2,100
"Adam Collins",1979-11-26,"D","Owen Sound Platers",11,0,1,1,0.09,33
